λ (nm),2NB E,,,,,
477,0,,,,,
476,0,,,,,
475,0,,,,,
474,0,,,,,
473,0,,,,,
472,0,,,,,
471,0,,,,,
470,0,,,,,
469,0,,,,,
468,0,,,,,
467,0,,,,,
466,0,,,,,
465,0,,,,,
464,0,,,,,
463,0,,,,,
462,0,,,,,
461,0,,,,,
460,0,,,,,
459,0,,,,,
458,0,,,,,
457,0,,,,,
456,0,,,,,
455,0,,,,,
454,0,,,,,
453,0,,,,,
452,0,,,,,
451,0,,,,,
450,0,,,,,
449,0,,,,,
448,0,,,,,
447,0,,,,,
446,0,,,,,
445,0,,,,,
444,0,,,,,
443,0,,,,,
442,0,,,,,
441,0,,,,,
440,0,,,,,
439,0,,,,,
438,0,,,,,
437,0,,,,,
436,0,,,,,
435,0,,,,,
434,0,,,,,
433,0,,,,,
432,0,,,,,
431,0,,,,,
430,0.4,,,,,
429,0.5,,,,,
428,0.6,,,,,
427,0.7,,,,,
426,0.8,,,,,
425,1,,,,,
424,1.1,,,,,
423,1.3,,,,,
422,1.5,,,,,
421,1.7,,,,,
420,2,,,,,
419,2.2,,,,,
418,2.5,,,,,
417,2.8,,,,,
416,3.2,,,,,
415,3.6,,,,,
414,4.1,,,,,
413,4.7,,,,,
412,5.4,,,,,
411,6.2,,,,,
410,7,,,,,
409,7.9,,,,,
408,8.9,,,,,
407,10.1,,,,,
406,11.4,,,,,
405,12.8,,,,,
404,14.4,,,,,
403,16.1,,,,,
402,17.9,,,,,
401,19.8,,,,,
400,21.9,,,,,
399,24.2,,,,,
398,26.7,,,,,
397,29.4,,,,,
396,32.2,,,,,
395,35.4,,,,,
394,38.7,,,,,
393,42.4,,,,,
392,46.3,,,,,
391,50.5,,,,,
390,54.9,,,,,
389,59.6,,,,,
388,64.3,,,,,
387,69.3,,,,,
386,74.3,,,,,
385,79.5,,,,,
384,85,,,,,
383,90.9,,,,,
382,97.1,,,,,
381,103,,,,,
380,110,,,,,
379,117,,,,,
378,124,,,,,
377,130,,,,,
376,138,,,,,
375,146,,,,,
374,154,,,,,
373,163,,,,,
372,171,,,,,
371,180,,,,,
370,188,,,,,
369,198,,,,,
368,207,,,,,
367,217,,,,,
366,227,,,,,
365,237,,,,,
364,248,,,,,
363,259,,,,,
362,270,,,,,
361,281,,,,,
360,297,,,,,
359,309,,,,,
358,322,,,,,
357,335,,,,,
356,346,,,,,
355,358,,,,,
354,373,,,,,
353,388,,,,,
352,403,,,,,
351,418,,,,,
350,432,,,,,
349,446,,,,,
348,460,,,,,
347,475,,,,,
346,491,,,,,
345,505,,,,,
344,521,,,,,
343,537,,,,,
342,556,,,,,
341,573,,,,,
340,591,,,,,
339,610,,,,,
338,631,,,,,
337,652,,,,,
336,674,,,,,
335,699,,,,,
334,724,,,,,
333,750,,,,,
332,777,,,,,
331,805,,,,,
330,837,,,,,
329,868,,,,,
328,901,,,,,
327,936,,,,,
326,972,,,,,
325,1010,,,,,
324,1051,,,,,
323,1093,,,,,
322,1138,,,,,
321,1183,,,,,
320,1231,,,,,
319,1282,,,,,
318,1335,,,,,
317,1388,,,,,
316,1441,,,,,
315,1495,,,,,
314,1548,,,,,
313,1602,,,,,
312,1657,,,,,
311,1713,,,,,
310,1767,,,,,
309,1819,,,,,
308,1870,,,,,
307,1922,,,,,
306,1970,,,,,
305,2012,,,,,
304,2067,,,,,
303,2123,,,,,
302,2181,,,,,
301,2243,,,,,
300,2304,,,,,
299,2363,,,,,
298,2424,,,,,
297,2482,,,,,
296,2548,,,,,
295,2620,,,,,
294,2693,,,,,
293,2766,,,,,
292,2836,,,,,
291,2911,,,,,
290,2989,,,,,
289,3069,,,,,
288,3150,,,,,
287,3228,,,,,
286,3316,,,,,
285,3407,,,,,
284,3501,,,,,
283,3598,,,,,
282,3699,,,,,
281,3799,,,,,
280,3898,,,,,
279,3998,,,,,
278,4098,,,,,
277,4198,,,,,
276,4296,,,,,
275,4393,,,,,
274,4487,,,,,
273,4573,,,,,
272,4657,,,,,
271,4732,,,,,
270,4803,,,,,
269,4876,,,,,
268,4948,,,,,
267,5017,,,,,
266,5081,,,,,
265,5142,,,,,
264,5202,,,,,
263,5253,,,,,
262,5303,,,,,
261,5346,,,,,
260,5379,,,,,
259,5406,,,,,
258,5422,,,,,
257,5429,,,,,
256,5429,,,,,
255,5416,,,,,
254,5394,,,,,
253,5366,,,,,
252,5333,,,,,
251,5299,,,,,
250,5273,,,,,
249,5255,,,,,
248,5250,,,,,
247,5275,,,,,
246,5332,,,,,
245,5427,,,,,
244,5571,,,,,
243,5781,,,,,
242,6048,,,,,
241,6390,,,,,
240,6792,,,,,
239,0,,,,,
238,0,,,,,
237,0,,,,,
236,0,,,,,
235,0,,,,,
234,0,,,,,
233,0,,,,,
232,0,,,,,
231,0,,,,,
230,0,,,,,
229,0,,,,,
228,0,,,,,
227,0,,,,,
226,0,,,,,
225,0,,,,,
224,0,,,,,
223,0,,,,,
222,0,,,,,
221,0,,,,,
220,0,,,,,
219,0,,,,,
218,0,,,,,
217,0,,,,,
216,0,,,,,
215,0,,,,,
214,0,,,,,
213,0,,,,,
212,0,,,,,
211,0,,,,,
210,0,,,,,
209,0,,,,,
208,0,,,,,
207,0,,,,,
206,0,,,,,
205,0,,,,,
204,0,,,,,
203,0,,,,,
202,0,,,,,
201,0,,,,,
200,0,,,,,
